"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Cyprus","CYP","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","21.5234414144483","21.0304092749967","20.5317130192917","19.7756201470735","19.0892768795044","19.1192630049549","19.2645597662815","20.3642963343421","20.8281319112429","18.6268008432154","18.4143462216805","18.4983850322539","22.2007990969019","23.8044220962397","24.9878935543498","25.9118877564069","26.1294488412341","23.72184581555","24.3580667866191","24.4573383212307","25.2106536928343","26.9649835555102","24.6108283233638","22.5963570809775","24.7337714115164","25.1543334994019","23.9028948577706","24.0783873435698","23.3841983763193","22.1651003752619","19.0459201075557","17.0977870204555","15.4303936030728","13.9707183742772","13.1468983470275","11.6535405444865","8.67811789912381","7.12821418284801","6.40409696919526","5.70352402099369","4.70220728151614","3.62433437277887","3.33098695548281","3.2947652875916","3.12818693147777","2.73529233514288","2.50697574031051","2.03142592428226","2.04115814040566","","","","",
"Czech Republic","CZE","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.72158587966692","7.24276901880007","6.52968253093065","6.40493571561187","6.55571960779456","6.19379363003454","5.73150169240576","5.10963153094331","4.65872173772881","4.27791392406344","3.60239574303737","3.35457832933402","2.71311721753366","2.83292367759667","2.89971347091237","2.62086426862613","","","","","",
"Germany","DEU","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.50982157768734","2.35661787766424","2.27525727625994","2.17368636737506","2.10860853258567","1.9541547002875","1.85712946042127","1.77800130855134","1.69919872521539","1.61859850779733","1.52087805087307","1.52901031049726","1.42629910380574","","","","","",
"Djibouti","DJI","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","11.2467306404729","10.6513410155148","10.4216661167175","9.65346536684778","9.25925924733104","8.84676145339652","8.60897147614307","8.40816327465223","8.10707456160121","8.22699798754442","7.43853096742119","6.3841347463393","6.1896056374245","6.68455174871407","6.02240896419104","5.73967783991023","5.70862893967891","5.45157456389408","5.51093879147114","5.60137880617503","5.45735748404849","5.30850747909393","5.30973451733893","5.24027748166442","5.05236365983439","4.76782752993222","4.37727529617568","4.17144022232753","4.09212924575991","2.54776293228457","2.42740672345185","2.34028728717085","3.76682097869789","3.40025227252616","3.05467729551006","3.06717911618207","2.92206749874643","2.42771702642573","2.28254741706315","2.1816588619376","2.00389249220263","1.93739978025353","1.75694926269698","1.64006701173751","1.55136633930186","1.48508797406692","1.47447504249529","1.27474397620115","","","","","",
"Dominican Republic","DOM","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","6.19381202568593","4.4391487475061","4.58240298877749","4.67030036991922","4.88168724279835","5.51895839677731","4.77051276398748","5.44837507838725","4.99542252119572","4.49684688546788","4.97004593452225","4.80498392815721","3.67159113161158","4.73047468637325","5.37444707454825","5.79407239687654","5.05143177868684","6.48673625345071","5.91417811488888","6.90159481858068","6.8964141306661","7.51127475737811","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","20.4479064756428","21.2846348257041","20.6623471550291","20.320855510654","21.5748485890912","19.7975808221209","21.7500523515347","20.9072979176604","19.4861659457724","17.163724939029","18.1830291570622","18.3457897463765","17.6044751611516","18.2962592145176","19.4676250122784","18.9096188017673","16.2853056976622","17.7648234497321","17.6226380610689","14.7488746160947","14.452281190902","13.47416633877","19.6116209563953","16.9589938468371","14.7392066146511","9.53725257889394","8.85356469521121","8.0278677608747","7.16147464244189","7.88179466138078","","","","","","","","","","","3.75703242660323","3.55068268112696","4.11258008659652","3.79866782870807","","","","","",
"East Asia & Pacific (developing only)","EAP","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (all income levels)","EAS","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
